Workout date, 2022-04-19 13:43:45 
Duration, 68
Calories burned, 0
Mean heart rate,  88.77
Maximum heart rate, 96
Notes, Walking

Time (seconds), Rate (beats per minute)
     1.0, 83
     2.0, 83
     3.0, 82
     4.0, 80
     5.0, 80
     6.0, 80
     7.0, 81
     8.0, 84
     9.0, 86
    10.0, 87
    11.0, 86
    12.0, 86
    13.1, 86
    14.0, 87
    15.0, 87
    16.0, 89
    17.0, 90
    18.0, 91
    19.0, 92
    20.0, 93
    21.0, 95
    22.2, 96
    23.2, 96
    24.2, 96
    25.2, 94
    26.2, 93
    27.2, 91
    28.2, 93
    29.2, 93
    30.2, 93
    31.2, 93
    32.2, 91
    33.2, 91
    35.2, 91
    35.2, 91
    36.2, 91
    37.2, 91
    38.2, 91
    39.2, 91
    40.2, 91
    41.2, 93
    42.2, 94
    43.2, 95
    44.2, 93
    45.2, 91
    46.2, 89
    47.2, 87
    48.2, 87
    49.2, 87
    51.2, 87
    51.2, 88
    52.2, 87
    53.2, 87
    54.2, 87
    55.2, 87
    56.2, 87
    57.2, 87
    58.2, 87
    59.2, 87
    60.2, 87
    61.2, 86
    62.2, 86
    63.2, 86
    64.2, 87
    65.2, 88
    67.2, 86
    67.2, 86
    68.2, 86
